中文名,英文名,用途解說(中文),用途解說(英文)
茶壺,Tea Pot,用來泡茶和倒茶。,Used to brew and pour tea.
茶盤,Teapot Pad,放在壺底下保護茶壺與桌子。,Protect the teapot and table.
茶杯,Tea cup,用來喝茶的杯子。,A small cup for drinking tea.
杯托,Tea saucer,放在茶杯下方，保持桌面乾淨。,Keep the teacup safe and clean.
茶倉,Tea Caddy,裝茶葉的地方。,Keep tea leaves fresh.
茶針,Tea Pick,把茶葉推進壺裡。,Push tea leaves into the teapot.
茶匙,Tea Scoop,把茶葉舀出來。,Use to scoop tea leaves.
茶巾,Tea Towel,拿來擦桌面或茶具。,Wipe tea tools and the table.
茶海,Serving Pot,把茶湯平均的倒茶到杯子裡。,Use to pour tea evenly.
水方,Waste Bowl,倒掉茶渣和多餘的水。,Collect leftover tea or rinse water.
